Employee ID,Review Date,Performance Rating,Potential Rating,Time in Role,Goals/Objectives,Achievement Status,Development Plan Status,Last Promotion Date,Next Review Date
E001,2024-12-10,5,Medium,1906-06-16 14:35:30.480,NPS,98%,Active,2019-06-04,2025-12-11
E002,2024-12-10,2,Medium,1906-08-19 14:35:30.480,,79%,Active,2019-04-01,2025-12-11
E003,2024-12-10,5,Medium,1902-12-02 14:35:30.480,,86%,Active,2022-12-17,2025-12-11
E004,2024-12-10,3,High,1905-08-25 14:35:30.480,,92%,Active,2020-03-25,2025-12-11
E005,2024-12-10,2,High,1903-03-01 14:35:30.480,,100%,Active,2022-09-19,2025-12-11
E006,2024-12-10,5,Low,1904-01-04 14:35:30.480,,58%,Active,2021-11-14,2025-12-11
E007,2024-12-10,2,High,1907-10-23 14:35:30.480,Sales Growth,76%,Active,2018-01-26,2025-12-11
E008,2024-12-10,2,Low,1903-02-17 14:35:30.480,Sales Growth,75%,Active,2022-10-01,2025-12-11
E009,2024-12-10,2,Low,1904-05-02 14:35:30.480,Sales Growth,52%,Active,2021-07-18,2025-12-11
E010,2024-12-10,5,Low,1905-04-24 14:35:30.480,Sales Growth,61%,Active,2020-07-26,2025-12-11
E011,2024-12-10,5,Low,1903-06-05 14:35:30.480,Sales Growth,92%,Active,2022-06-15,2025-12-11
E012,2024-12-10,5,Medium,1906-06-23 14:35:30.480,Sales Growth,75%,Active,2019-05-28,2025-12-11
E013,2024-12-10,2,Low,1904-12-08 14:35:30.480,Sales Growth,84%,Active,2020-12-10,2025-12-11
E014,2024-12-10,1,Medium,1907-06-28 14:35:30.480,Sales Growth,56%,Active,2018-05-23,2025-12-11
E015,2024-12-10,1,High,1905-02-08 14:35:30.480,Sales Growth,91%,Active,2020-10-09,2025-12-11
E016,2024-12-10,3,Low,1905-12-10 14:35:30.480,,58%,Active,2019-12-09,2025-12-11
E017,2024-12-10,5,High,1906-05-16 14:35:30.480,,74%,Active,2019-07-05,2025-12-11
E018,2024-12-10,5,Low,1904-06-26 14:35:30.480,,52%,Active,2021-05-24,2025-12-11
E019,2024-12-10,4,High,1907-03-12 14:35:30.480,,96%,Active,2018-09-08,2025-12-11
E020,2024-12-10,5,Low,1907-04-23 14:35:30.480,,94%,Active,2018-07-28,2025-12-11
E021,2024-12-10,5,Low,1907-04-23 14:35:30.480,,94%,Active,2018-07-28,2025-12-11
E022,2024-12-10,5,Low,1907-04-23 14:35:30.480,,94%,Active,2018-07-28,2025-12-11
E023,2024-12-10,5,Low,1907-04-23 14:35:30.480,,94%,Active,2018-07-28,2025-12-11
E024,2024-12-10,5,Low,1907-04-23 14:35:30.480,,94%,Active,2018-07-28,2025-12-11
E025,2024-12-10,5,Low,1907-04-23 14:35:30.480,,94%,Active,2018-07-28,2025-12-11
E026,2024-12-10,5,Low,1907-04-23 14:35:30.480,,94%,Active,2018-07-28,2025-12-11
